Semanas;Fechas
Semana 1;10-15 Nov
Semana 2;17-22 Nov
Semana 3;24-29 Nov
Semana 4;1-6 Dic
Semana 5;8-13 Dic
Semana 6;15-20 Dic
Semana 7;21-27 Dic
Semana 8;29 Dic-3 Ene
Semana 9;5-10 Ene
Semana 10;11-17 Ene
Semana 11;19-24 Ene
Semana 12;26-31 Ene
Semana 13;1-7 Feb
Semana 14;9-14 Feb
Semana 15;16-21 Feb
Semana 16;23-28 Feb
Semana 17;2-7 Mar
Semana 18;9-14 Mar
Semana 19;16-21 Mar
Semana 20;23-28 Mar
Semana 21;30 Mar-4 Abr
Semana 22;6-11 Abr
Semana 23;13-18 Abr
Semana 24;20-25 Abr
Semana 25;27 Abr-2 May
Semana 26;4-9 May
Semana 27;11-16 May
Semana 28;18-23 May
Semana 29;25-30 May
